,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,Stock,Yearly Results of Aarti Industries (in Rs. Cr.),,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),,Yearly Results of Bharti Airtel (in Rs. Cr.),,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),,Yearly Results of Britannia Industries (in Rs. Cr.),,Yearly Results of Birlasoft (in Rs. Cr.),,Yearly Results of Canara Bank (in Rs. Cr.),,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.),,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.),,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,Yearly Results of Escorts Kubota (in Rs. Cr.),,Yearly Results of GMR Airports Infrastructure (in Rs. Cr.),,Yearly Results of Hindustan Aeronautics Ltd. (in Rs. Cr.),,Yearly Results of Havells India (in Rs. Cr.),,Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,Yearly Results of Max Financial Services (in Rs. Cr.),,Yearly Results of NMDC (in Rs. Cr.),,Yearly Results of Piramal Enterprises (in Rs. Cr.),,Yearly Results of Trent (in Rs. Cr.),,Yearly Results of Vedanta (in Rs. Cr.),
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Other Operating Income,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EXPENDITURE,,,,,,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Power & Fuel,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Excise Duty,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Admin. And Selling Expenses,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,R & D Expenses,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Provisions And Contingencies,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Exp. Capitalised,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Interest,33.30,8.90,7.60,33.70,28.05,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tax,153.10,141.80,112.20,53.70,76.74,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Prior Year Adjustments,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Extra Ordinary Items,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,EPS Before Extra Ordinary,,,,,,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EPS After Extra Ordinary,,,,,,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Public Share Holding,,,,,,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,No Of Shares (Crores),--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Share Holding (%),--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Promoters and Promoter Group Shareholding,,,,,,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,a) Pledged/Encumbered,,,,,,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,- Number of shares (Crores),--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,b) Non-encumbered,,,,,,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,- Number of shares (Crores).,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2021,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Other Operating Income,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EXPENDITURE,,,,,,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Power & Fuel,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Excise Duty,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Admin. And Selling Expenses,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,R & D Expenses,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Provisions And Contingencies,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Exp. Capitalised,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Interest,33.30,8.90,7.60,33.70,28.05,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tax,153.10,141.80,112.20,53.70,76.74,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Prior Year Adjustments,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Extra Ordinary Items,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,EPS Before Extra Ordinary,,,,,,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EPS After Extra Ordinary,,,,,,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Public Share Holding,,,,,,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,No Of Shares (Crores),--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Share Holding (%),--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Promoters and Promoter Group Shareholding,,,,,,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,a) Pledged/Encumbered,,,,,,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,- Number of shares (Crores),--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,b) Non-encumbered,,,,,,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,- Number of shares (Crores).,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2022,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Other Operating Income,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EXPENDITURE,,,,,,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Power & Fuel,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Excise Duty,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Admin. And Selling Expenses,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,R & D Expenses,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Provisions And Contingencies,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Exp. Capitalised,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Interest,33.30,8.90,7.60,33.70,28.05,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tax,153.10,141.80,112.20,53.70,76.74,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Prior Year Adjustments,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Extra Ordinary Items,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,EPS Before Extra Ordinary,,,,,,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EPS After Extra Ordinary,,,,,,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Public Share Holding,,,,,,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,No Of Shares (Crores),--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Share Holding (%),--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Promoters and Promoter Group Shareholding,,,,,,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,a) Pledged/Encumbered,,,,,,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,- Number of shares (Crores),--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,b) Non-encumbered,,,,,,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,- Number of shares (Crores).,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2023,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2018,aartiindustries,Yearly Results of Aarti Industries (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6565.00,6865.27,4316.71,3994.41,4857.59,,2018,aartiindustries,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2018,aartiindustries,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6565.00,6865.27,4316.71,3994.41,4857.59,,2018,aartiindustries,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2018,aartiindustries,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,3465.00,3266.89,1922.84,1765.21,2813.23,,2018,aartiindustries,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,290.00,210.88,185.79,218.20,143.13,,2018,aartiindustries,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,46.00,-229.54,-65.41,-16.09,-63.38,,2018,aartiindustries,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
